Offset,Hash,Original,Translation
68,0,あ…@MYNAME様…,아… @MYNAME님…
104,1,"バッシとモービンは、
とうとう昏睡状態になりましたニャ…","바시와 모빈은,
결국 혼수상태가 되었어요냥…"
195,2,"キースの話では、
今夜が峠だそうですニャ…","키스의 말로는,
오늘 밤이 고비라고 해요냥…"
258,3,"やあ、@MYNAME。
僕も様子を見に来たんだが、この通りでね。","안녕, @MYNAME.
나도 상황을 보러 왔는데, 보다시피 이 모양이야."
336,4,"憔悴しきった彼の姿を見てると、
こっちまで辛くなってしまうよ…","완전히 초췌해진 그의 모습을 보고 있자니,
나까지 괴로워지는군…"
453,5,"どうして…
こんなことになったのかニャ…","어째서…
이렇게 되어버린 거냥…"
514,6,"ついこの間までは、
みんなで笑っていたのにニャ…","얼마 전까지만 해도,
다 같이 웃고 있었는데냥…"
590,7,"バッシ…モービン！
目を覚ましてくれニャ！
このまま終わりなんて、そんなのイヤニャ！","바시… 모빈!
눈을 떠줘냥!
이대로 끝이라니, 그런 건 싫다냥!"
709,8,いいや、まだ終わってないよ！,"아니, 아직 끝나지 않았어!"
772,9,！？レイラ…！,!? 레일라…!
889,10,どうしてお前がここに…！？,어째서 네가 여기에…!?
936,11,もちろん、あんたたちを助けるためさ。,"당연히, 너희들을 돕기 위해서지."
993,12,"助ける…？
このネコたちを救う方法が、
まだあるというのか！？","돕는다…?
이 고양이들을 구할 방법이,
아직 있다는 거냐!?"
1083,13,"たったひとつだけ、
イチかバチかの賭けになるけど…","딱 하나뿐이지만,
이판사판 도박이 되겠지만…"
1154,14,"ネコたちがもともと持ってる免疫力や
生命力を高めてやれば、あるいは…","고양이들이 원래 가지고 있는 면역력과
생명력을 높여주면, 어쩌면…"
1243,15,"それはわかるが、
そんなモノをどうやって…","그건 알겠지만,
그런 걸 어떻게…"
1306,16,"あるじゃないか。
生物の生命力を急速に促進させ、
活性化させる作用を持つモノ…","있잖아.
생물의 생명력을 급속히 촉진시키고,
활성화시키는 작용을 가진 것…"
1405,17,すなわち、イナガミの血！,"즉, 이나가미의 피!"
1450,18,"イナガミ！？
そうか…その手があったか！","이나가미!?
그렇군… 그런 방법이 있었나!"
1511,19,"イナガミの血から新たな治療薬を作り、
ふたりに飲ませてやれば…","이나가미의 피로 새로운 치료약을 만들어,
둘에게 먹이면…"
1594,20,バッシとモービンは助かるのかニャ！？,바시와 모빈은 살 수 있는 거냥!?
1658,21,"あくまで最後の賭けだよ。
けど、何もしないで嘆いてるよりは、
よっぽど前向きだろ？","어디까지나 마지막 도박이야.
하지만, 아무것도 안 하고 한탄하는 것보다는,
훨씬 긍정적이잖아?"
1761,22,"わかった。
すぐに他のレジェンドラスタたちにも
知らせよう。","알았다.
곧바로 다른 레전드 라스터들에게도
알리도록 하지."
