Offset,Hash,Original,Translation
61,0,"こんにちは、@MYNAMEさん！
実はまたちょっと、相談事があって…","안녕하세요, @MYNAME님!
실은 또 조금, 상담할 일이 있어서…"
143,1,"なんだか昨日から、
お腹の調子が悪いんですよ～…いたた…","왠지 어제부터,
배 상태가 안 좋아요~… 아야야…"
220,2,"で、腹痛には魚竜のキモが
良く効くって言われたんですけど、
この調子だと狩りにもいけず…","그런데, 복통에는 어룡 간이
잘 듣는다고 들었는데,
이 상태로는 사냥도 못 가서…"
329,3,"すいませんが、ドスガレオスを
狩猟してきていただけませんでしょうか！？","죄송하지만, 도스가레오스를
사냥해 와 주실 수 없을까요!?"
420,4,"お礼は必ずしますから！
よろしくお願いします～！","답례는 꼭 할게요!
잘 부탁드립니다~!"
502,5,"すいませんが、ドスガレオスを
狩猟してきていただけませんでしょうか！？","죄송하지만, 도스가레오스를
사냥해 와 주실 수 없을까요!?"
593,6,"終わったら、猟団部屋でまた声を
かけてください。お礼をさせて頂きます！
よろしくお願いします～！","끝나면, 수렵단실에서 다시 말을
걸어 주세요. 답례를 하도록 할게요!
잘 부탁드립니다~!"
711,7,"@MYNAMEさん！
ありがとうございます～！","@MYNAME님!
감사합니다~!"
784,8,"魚竜のキモって、すごいですね！
あっという間に腹痛が
治っちゃいましたっ！","어룡 간, 정말 대단하네요!
순식간에 복통이
나아버렸어요!"
879,9,"これでまた狩りで
ブーブー笛を吹けますよっ！","이제 다시 사냥에서
꿀꿀 피리를 불 수 있겠네요!"
944,10,"あ、早速@MYNAMEさんの狩りの
お手伝いしちゃいますねっ！","아, 바로 @MYNAME님의 사냥을
도와드릴게요!"
1020,11,"獲物は何でもいいので、
いつでも声をかけてくださいっ！","사냥감은 뭐든 상관없으니,
언제든지 말 걸어 주세요!"
