Offset,Hash,Original,Translation
0,148,選択肢前会話（ダミー）,선택지 앞 대화(더미)
0,148,"また来るのニャ！
",또 오는 거다냥!
0,148,"クエストに行ってからまた来るニャ！
そんなすぐには採れないのニャ！
時間をかけニャいと、採れるものも
採れないのニャ！","퀘스트에 갔다가 다시 오는 거다냥!
그렇게 금방은 안 나는 거다냥!
시간을 들이지 않으면, 나올 것도
안 나는 거다냥!"
0,148,"グッドタイミングニャ！さっき水撒きしていたら
コレが採れたのニャ！忘れずに受け取るニャ！","타이밍 좋다냥! 아까 물을 뿌리고 있었더니
이게 나온 거다냥! 잊지 말고 받아가는 거다냥!"
0,148,"丁度良かったのニャ！さっき水撒きしていたら
コレが採れたのニャ！≪ラッキージョウロ≫
じゃないんだけどニャ。忘れずに受け取るニャ！","딱 좋았다냥! 아까 물을 뿌리고 있었더니
이게 나온 거다냥! ≪럭키 물뿌리개≫
는 아니지만 말이다냥. 잊지 말고 받아가는 거다냥!"
0,148,"ニャ～、クエストから戻ってくる頃までには
水撒きしておくので、また来るのニャ！","냐~, 퀘스트에서 돌아올 때쯤까지는
물을 뿌려둘 테니, 또 오는 거다냥!"
0,148,"ただ、あんまりイイものを期待しないのニャ！
≪ラッキージョウロ≫じゃないんだからニャ！","단, 너무 좋은 걸 기대하지 않는 거다냥!
≪럭키 물뿌리개≫가 아니니까 말이다냥!"
0,148,"ニャ～、クエストから戻ってきた頃までには
水撒きしておくので、また来るのニャ！","냐~, 퀘스트에서 돌아왔을 때쯤까지는
물을 뿌려둘 테니, 또 오는 거다냥!"
0,148,"あ！でも今回で≪ラッキージョウロ≫
が最後なのニャ！！
   
メゼポルタ広場の総合ショップで買わないと、
≪ふつうのジョウロ≫になっちゃうのニャ！","아! 근데 이번으로 ≪럭키 물뿌리개≫
가 마지막인 거다냥!!
   
메제포르타 광장의 종합 상점에서 사지 않으면,
≪보통 물뿌리개≫가 되어버리는 거다냥!"
0,148,"ニャ～、クエストから戻ってきた頃までには
水撒きしておくので、また来るのニャ！","냐~, 퀘스트에서 돌아왔을 때쯤까지는
물을 뿌려둘 테니, 또 오는 거다냥!"
0,148,"今度は何が採れるか楽しみなのニャ！
何せ≪ラッキージョウロ≫だからニャ。
気合入れて水撒きしておくのニャ！","이번엔 뭐가 나올지 기대되는 거다냥!
뭐니 뭐니 해도 ≪럭키 물뿌리개≫니까 말이다냥.
기합 넣어서 물을 뿌려두는 거다냥!"
0,148,"クエストに行ってからまた来るニャ！
そんなすぐには採れないのニャ！
時間をかけニャいと、採れるものも
採れないのニャ！","퀘스트에 갔다가 다시 오는 거다냥!
그렇게 금방은 안 나는 거다냥!
시간을 들이지 않으면, 나올 것도
안 나는 거다냥!"
