Offset,Hash,Original,Translation
61,0,"あ、@MYNAME！
ちょうどいいところに来てくれたな！","아, @MYNAME!
마침 딱 좋은 때 와 줬군!"
131,1,"すまない、「また」なんだ…
少し困ったことがあってな。","미안하네, 「또」야…
조금 곤란한 일이 있어서 말이지."
205,2,"レジェンドラスタとして、バサルモスの狩猟を
依頼されたんだが…。","레전드 라스터로서, 바사루모스 사냥을
의뢰받았는데…."
302,3,"その…私はスラッシュアックスＦを
使うだろう？","그…나는 슬래시액스Ｆ를
쓰지 않나?"
368,4,"あれはビンが無いと作動しないのは
知っての通りなんだが…","그건 병이 없으면 작동하지 않는다는 건
알다시피인데…."
444,5,"その、何というか…、
ビンを切らしてしまってな…","그게, 뭐랄까…,
병이 다 떨어져 버려서…."
525,6,"前の狩り場からの帰りの船で
うたた寝していたら、ビンが転がって
全部海に落ちてしまったんだ…","지난번 사냥터에서 돌아오는 배 안에서
깜빡 졸았더니, 병이 굴러가서
전부 바다에 빠뜨리고 말았어…."
636,7,"とてもじゃないが、こんな理由で狩りに
行けないなんてギルドには言えない…","도저히 이런 이유로 사냥을
못 간다고는 길드에 말할 수가 없어…."
728,8,一生のお願いだ、@MYNAME！,"평생의 부탁이다, @MYNAME!"
774,9,"私に代わって、バサルモスの狩猟を
お願いできないか！！","나 대신, 바사루모스 사냥을
부탁할 수 없겠나!!"
861,10,"本当か！
いつも本当にすまないと思っている。
この礼は必ずしよう！","정말인가!
항상 정말 미안하게 생각하고 있어.
이 은혜는 반드시 갚겠네!"
946,11,"…できれば、
こっそりと頼むぞ、こっそりとな。
間違っても私の代わりとか言わないようにな！","…가능하면,
몰래 부탁한다, 몰래 말이야.
절대로 나 대신이라는 말은 하지 말아 줘!"
1055,12,"狩りに行ったことになっている手前、
私が外に出るわけにはいかない。","사냥을 간 걸로 되어 있는 이상,
내가 밖에 나갈 수는 없다."
1141,13,"私はここでこっそり隠れているから、
すまないがバサルモスを狩猟したら
猟団部屋まで来てくれ。","나는 여기서 몰래 숨어 있을 테니,
미안하지만 바사루모스를 사냥하면
수렵단실로 와 줘."
1278,14,"私に代わって、
バサルモスを狩猟してきて欲しい。
猟団部屋で待っているぞ。","나 대신,
바사루모스를 사냥해 왔으면 한다.
수렵단실에서 기다리고 있겠다."
1372,15,面目次第もない…,면목이 없군….
1411,16,"おお、@MYNAME！
バサルモスを狩猟してくれたんだな。","오오, @MYNAME!
바사루모스를 사냥해 줬구나."
1496,17,"…それで、ギルドにはバレて
いないんだろうな…？","…그래서, 길드에는 들키지
않았겠지…?"
1577,18,"そうかそうか！
良かった…","그런가 그래!
다행이다…."
1623,19,"本当に世話をかけた。
これで埋め合わせになるかは
分からないが、","정말 신세를 졌군.
이걸로 보상이 될지는
모르겠지만,"
1706,20,"また私にきみの狩りを手伝わせてくれ。
猟団部屋で待っているから、
準備ができたら声をかけてくれ。","또 내가 자네의 사냥을 돕게 해 줘.
수렵단실에서 기다리고 있을 테니,
준비가 되면 말을 걸어 줘."
1821,21,…ビンは補充したから大丈夫だぞ？,…병은 다시 채워 놨으니 괜찮다?
