Offset,Hash,Original,Translation
61,0,"うーむ…これは…
どうしたモノか……","으음… 이거 참…
어찌해야 할지……"
131,1,"おぉ、狩人殿。
調子はいかがかナ？","오오, 나리.
몸 상태는 어떠시오?"
199,2,"拙者はというと…実は
太刀の留め金が外れてしまいましてナ。","소인으로 말하자면… 실은
태도의 걸쇠가 빠져버려서 말이오."
277,3,"この程度のことで、武具工房の
親方の手を煩わせるのは嫌なのだガ…","이 정도 일로, 장비공방의
장인 나리 손을 번거롭게 하는 건 싫지만…"
362,4,"かといって、拙者自身で
修繕するにも道具がないし…
むむ、困ったでゴザルなぁ。","그렇다고, 소인 스스로
수리하려 해도 도구가 없고…
으음, 곤란하구려."
461,5,"キースはかなり困っているようだ。
代わりに、武具工房の親方に
相談してみようか…","키스는 상당히 곤란해하는 듯하다.
대신, 장비공방의 장인에게
상담해 볼까…"
573,6,うーむ…困った、困った…,"으음… 곤란하군, 곤란해…"
618,7,"キースはかなり困っているようだ。
代わりに、武具工房の親方に
相談してみようか…","키스는 상당히 곤란해하는 듯하다.
대신, 장비공방의 장인에게
상담해 볼까…"
719,8,"よお、あんたか。
今日は何の用だ？","어이, 자네인가.
오늘은 무슨 일이지?"
786,9,"なに？
キースが刀の留め金が外れて
困ってる…？","뭐? 키스가 칼의 걸쇠가 빠져서
곤란해한다고…?"
853,10,"ハハ、そんなことか！
それなら簡単に直せるはずだ。","하하, 그런 거였나!
그거라면 간단히 고칠 수 있을 거다."
924,11,"のりこねバッタを５つほど集めれば、
そいつの強力な粘液が
接着剤の代わりになる。","풀반죽 메뚜기를 5마리 정도 모으면,
그 녀석의 강력한 점액이
접착제 대신이 되지."
1024,12,"それを使えば、留め金ぐらいなら
簡単につけられるさ！","그걸 쓰면, 걸쇠 정도는
간단히 붙일 수 있어!"
1110,13,"…とはいえ、
キースもそんな気を遣うなってんだ。","…그건 그렇고,
키스도 그런 걸로 신경 쓰지 말라고 해."
1179,14,"長い付き合いなんだし、
いつでも遠慮せずに来いって伝えてくれ！","오랜 사이인데,
언제든 사양 말고 오라고 전해줘!"
1262,15,"留め金の修繕方法がわかった。
猟団部屋にいるキースに、
のりこねバッタを差し入れてあげよう。","걸쇠 수리 방법을 알아냈다.
수렵단실에 있는 키스에게
풀반죽 메뚜기를 전해주자."
1387,16,"…おや、狩人殿。
どうしましたかナ？","…오, 나리.
무슨 일이시오?"
1443,17,"のりこねバッタを５個集めて、
猟団部屋まで届けてあげよう。","풀반죽 메뚜기를 5개 모아서,
수렵단실까지 전해주자."
1549,18,"やや、狩人殿。
こののりこねバッタは一体…！？","어어, 나리.
이 풀반죽 메뚜기는 대체…!?"
1628,19,"なんと、武具工房の親方殿に
修繕方法を聞いてきてくれたと！？","뭐라, 장비공방의 장인 나리께
수리 방법을 물어봐 주었다고!?"
1721,20,"かたじけない！
こののりこねバッタを使って、
自分で留め金は直すでゴザルよ！","고맙소!
이 풀반죽 메뚜기를 써서,
직접 걸쇠를 고치겠소!"
1817,21,"狩人殿には此度も世話になって…
ぜひ礼をさせてクダサレ！","나리께는 이번에도 신세를 져서…
부디 답례를 하게 해 주시오!"
1894,22,"一度、狩人殿の狩りに
付き合うというのはいかがカ！？","한번, 나리의 사냥에
동행하는 건 어떻겠소!?"
1980,23,"拙者はここでお待ちいたす。
拙者の太刀さばきが必要となれば、
いつでも声をかけてくだサレ！","소인은 여기서 기다리겠소.
소인의 태도 솜씨가 필요하다면,
언제든지 말을 걸어 주시오!"
