Offset,Hash,Original,Translation
61,0,"やあ@MYNAME様！
ついに神龍木の衣装ができましたニャ！","이야 @MYNAME님!
드디어 영룡목 의상이 완성됐습니다냥!"
135,1,"これでようやく、
歌姫さまがこの泉にお出ましにニャる…","이걸로 드디어,
가희님께서 이 샘에 나오시게…냥"
217,2,"と、思っていたんですがニャ、
少し困ったことになってしまいましたニャ。","라고 생각했었는데요냥,
조금 곤란한 일이 생기고 말았습니다냥."
308,3,"神龍木の衣装を完成させるには、
新鮮な古龍の血が必要だそうですニャ。","영룡목 의상을 완성시키려면,
신선한 고룡의 피가 필요하다고 합니다냥."
397,4,"まったく、バッシのヤツ、
それニャらそうと最初から言えば…","정말이지, 바시 그 녀석,
그거라면 그렇다고 처음부터 말했으면…"
483,5,"あ、これはこっちの話でしたニャ。
とにかく古龍の血…それも、霞龍と呼ばれる
古龍から獲れる新鮮な血が必要ですニャ。","아, 이건 이쪽 이야기였습니다냥.
어쨌든 고룡의 피…그것도, 하룡이라고 불리는
고룡에게서 얻을 수 있는 신선한 피가 필요합니다냥."
618,6,"討伐さえしてくれたら、
オイラがすぐに血を採取しますニャ。","토벌만 해주신다면,
제가 바로 피를 채집하겠습니다냥."
697,7,"依頼はまたギルドマスターに相談するので、
@MYNAME様は霞龍の討伐を…","의뢰는 다시 길드마스터와 상담할 테니,
@MYNAME님은 하룡 토벌을…"
798,8,"…え？
エドワードから話を聞いた？","…에?
에드워드에게서 이야기를 들었다고요?"
899,9,"ニャ、ニャんのことだか
オイラにはさーっぱりわからないニャ！","무, 무슨 말씀인지
저는 전~혀 모르겠습니다냥!"
980,10,"あんなヤツとオイラと、
どっちのことを信用するニャ！？","저런 녀석과 저 중에,
어느 쪽을 믿으시는 겁니까냥!?"
1062,11,"それよりも今は、
霞龍の血が必要なんですニャ","그것보다 지금은,
하룡의 피가 필요합니다냥"
1127,12,"お、お願いですニャ！
どうか霞龍を討伐して、
龍の血を獲ってきて欲しいですニャ！","부, 부탁입니다냥!
부디 하룡을 토벌해서,
용의 피를 구해와 주셨으면 좋겠습니다냥!"
1228,13,"オイラの依頼は、また
~C05ギルドマスターに相談~C00しておきましたニャ。
まず話を聞いてみてほしいですニャ。","제 의뢰는, 다시
~C05길드마스터와 상담~C00해두었습니다냥.
먼저 이야기를 들어봐 주셨으면 좋겠습니다냥."
1368,14,"衣装を完成させるためには、
霞龍の血が必要ですニャ。","의상을 완성시키기 위해서는,
하룡의 피가 필요합니다냥."
1441,15,"まずは~C05ギルドマスター~C00に
話をしてみて欲しいですニャ。","우선은 ~C05길드마스터~C00에게
이야기를 해봐 주셨으면 좋겠습니다냥."
1523,16,"おお、お前か。
トッツイから話は聞いておるが…","오오, 너로구나.
톳츠이에게서 이야기는 들었다만…"
1603,17,そうか、エドワードがそんなことをのう…,"그런가, 에드워드가 그런 말을 했다는 게로군…"
1662,18,"きっとエドワードは、
あの男のことを思い出して、
お前に忠告しておるのやもしれんな。","필시 에드워드는,
그 사내를 떠올리고서,
너에게 충고를 해준 것일지도 모르겠구나."
1767,19,"いずれにせよ、
何を信じるかはお前次第じゃ","어쨌든,
무엇을 믿을지는 너 하기 나름이니라"
1830,20,"~C05オオナズチの討伐~C00は、
総合受付から受注するとよかろう。","~C05오오나즈치 토벌~C00은,
종합접수처에서 수주하면 될 것이니라."
1926,21,"お前がトッツイを信じるというなら、
今後もあやつの力になってやってくれ。","네가 톳츠이를 믿는다고 한다면,
앞으로도 그놈의 힘이 되어주려무나."
2032,22,"衣装を完成させるためには、
霞龍の血が必要ですニャ。","의상을 완성시키기 위해서는,
하룡의 피가 필요합니다냥."
2105,23,"~C05オオナズチは討伐~C00さえしてくれたら、
オイラがすぐに血を採取しますニャ。","~C05오오나즈치는 토벌~C00만 해주신다면,
제가 바로 피를 채집하겠습니다냥."
2213,24,"おお、@MYNAME様！
オイラのことを信じてくれたんですニャ！","오오, @MYNAME님!
저를 믿어주셨군요냥!"
2291,25,"霞龍の新鮮な血は
確かにいただきましたニャ！","하룡의 신선한 피는
확실히 받았습니다냥!"
2356,26,"ありがとうございますニャ！
これで歌姫さまは、きっと元気に
なりますニャ！","감사합니다냥!
이걸로 가희님은, 분명 기운을
차리실 겁니다냥!"
2491,27,"エドワードの言ったこと、
やっぱり気にしてますかニャ？","에드워드가 했던 말,
역시 신경 쓰이십니까냥?"
