Offset,Hash,Original,Translation
61,0,"やあ、@MYNAME。
実はまたちょっと相談があるんだけど、
聞いてくれる？","어이, @MYNAME.
실은 또 좀 상담할 게 있는데,
들어줄래?"
164,1,"ありがとう。
相変わらずあんたはいい人だね。","고마워.
여전히 너는 좋은 사람이구나."
229,2,"じゃあまた祈樹の泉で待っててよ。
アタシもすぐに行くからさ。","그럼 다시 기수의 샘에서 기다려줘.
나도 금방 갈 테니까."
323,3,"じゃあまた祈樹の泉で待っててよ。
アタシもすぐに行くからさ。","그럼 다시 기수의 샘에서 기다려줘.
나도 금방 갈 테니까."
406,4,"悪いね。
忙しいところを呼び出してさ。","미안해.
바쁜데 불러내서."
465,5,"実は、相談ってのは、
あるお菓子についてのことなんだ。","실은, 상담이란 게,
어떤 과자에 관한 거야."
540,6,あんた、エトワリンって知ってるかい？,"너, 에트와린이라고 알아?"
610,7,"まあ、知らないだろうね。
アタシも旅の途中でさ、東方から来た
職人に一度だけ食べさせてもらったんだ。","뭐, 모르겠지.
나도 여행 도중에, 동방에서 온
장인한테 한 번 먹어본 적이 있어."
731,8,"たぶん砂糖菓子なんだろうけど、
星砂みたいにデコボコした形をしててね、
それがまた妙に可愛らしいんだ。","아마 설탕과자인 것 같은데,
별모래처럼 울퉁불퉁한 모양을 하고 있어서,
그게 또 묘하게 사랑스럽더라고."
854,9,"もちろん、メゼポルタには売ってない。
けど、どうしてももう一度
食べたくてさ…","물론, 메제포르타에는 안 팔아.
근데, 아무래도 다시 한번
먹고 싶어서 말이야…"
953,10,"どうやったらアレが作れるのか、
一緒に調べてくれないか？","어떻게 하면 그걸 만들 수 있는지,
같이 알아봐 주지 않을래?"
1043,11,"ありがとう。
じゃあ、手分けして調べよう。","고마워.
그럼, 나눠서 조사해보자."
1106,12,"アタシは食材屋に聞いてみるから、
あんたは総合ショップを当たってみてよ。","나는 식료품점에 물어볼 테니까,
너는 종합 상점을 알아봐줘."
1212,13,"え？
なんで総合ショップなのかって？","어?
왜 종합 상점이냐고?"
1269,14,"あそこはね、
仕入れで各地をまわってるから、
珍しい素材とかにも詳しいんだってさ。","거긴 말이지,
매입하러 각지를 돌아다니니까,
희귀한 소재 같은 것도 잘 안다더라고."
1372,15,"じゃあ、総合ショップの聞き込み、
頼んだよ。","그럼, 종합 상점 탐문,
부탁할게."
1450,16,"総合ショップの受付はね、
仕入れで各地をまわってるから、
珍しい素材とかにも詳しいんだってさ。","종합 상점 접수처는 말이지,
매입하러 각지를 돌아다니니까,
희귀한 소재 같은 것도 잘 안다더라고."
1565,17,"じゃあ、総合ショップの聞き込み、
頼んだよ。","그럼, 종합 상점 탐문,
부탁할게."
1632,18,"いらっしゃいませー！
今日も明日も明るい総合ショップですよー！
家具も元気に扱っていまーす！","어서 오세요~!
오늘도 내일도 활기찬 종합 상점이랍니다~!
가구도 힘차게 취급하고 있어요~!"
1756,19,"へ？
エトワリンの作り方ですか…？","네?
에트와린 만드는 법 말인가요…?"
1811,20,"また妙なことを聞きますねー。
エトワリンって、東方にある
小さな砂糖菓子のことですよね？","또 이상한 걸 물어보시네요~.
에트와린이라면, 동방에 있는
작은 설탕과자 말씀이시죠?"
1920,21,"もちろん、知ってますよー。
わたしはこうみえて、いろんな街で
仕入れをやっていますからねー。","물론, 알고 있어요~.
저 이래 봬도, 여러 마을에서
매입을 하고 있으니까요~."
2033,22,"だけど、ここはお菓子屋さんでは
ないんですけどー。まあ、いいっかー。
総合ショップですしー。","근데, 여기는 과자 가게가
아니긴 한데요~.뭐, 상관없나~.
종합 상점이니까요~."
2145,23,"確か、エトワリンってのは
大きな鉄の釜をグルグル回しながら、
何日も何日も糖蜜をかけて作るんですよ。","아마, 에트와린이라는 건
커다란 철가마를 빙글빙글 돌리면서,
며칠이고 며칠이고 당밀을 부어가며 만드는 거예요."
