Offset,Hash,Original,Translation
74,0,…んニャ？,…음냥?
112,1,"なんニャ、ハンターの人間かニャ。
どうせまたオイラを冷やかしに来たに
決まってるニャ。","뭐냥, 헌터 인간이냥.
어차피 또 나를 놀리러
온 게 뻔하다냥."
219,2,"不愉快ニャ！
あっちへ行って欲しいニャ！","불쾌하다냥!
저리 가줬으면 좋겠다냥!"
306,3,"またお前かニャ。
ハンターなんて大嫌いニャ！
あっちへ行けニャ！","또 너냐냥.
헌터 따위 정말 싫다냥!
저리 가라냥!"
391,4,"~C06人間のことを相当に疑っているようだ。
放っておくべきだろうか…~C00","~C06인간을 상당히 의심하고 있는 것 같다.
그냥 내버려둬야 할까…~C00"
495,5,"しつっこいニャ！
オイラのことは放っておいて欲しいニャ！","끈질기다냥!
나를 좀 내버려뒀으면 좋겠다냥!"
579,6,"どうせお前も、他のハンターみたいに
なーんにもできないに決まってるニャ！","어차피 너도 다른 헌터들처럼
아~무것도 못할 게 뻔하다냥!"
672,7,"~C06何か事情がありそうだ。
話を聞いてみようか…？~C00","~C06뭔가 사정이 있는 것 같다.
이야기를 들어볼까…?~C00"
761,8,"フン、やっぱりニャ。
人間なんてみんな同じニャ…","흥, 역시냥.
인간이란 다 똑같다냥…"
844,9,"そ、そんな優しいこと言っても
信用できないニャ！","그, 그런 다정한 말을 해도
믿을 수 없다냥!"
914,10,"オイラはもう二度と
ハンターには騙されニャいと心に…","나는 이제 두 번 다시
헌터에게는 속지 않겠다고 마음속으로…"
1021,11,おなかすいたニャ…,배고프다냥…
1060,12,お前、~C05ウスアジ~C00とかもってニャいか？,"너, ~C05옅은 전갱이~C00 같은 거 안 가지고 있냥?"
1136,13,"うぅぅ…おなかすいたニャ…。
おいしい~C05ウスアジ~C00が食べたいニャぁ…","으으…배고프다냥…
맛있는 ~C05옅은 전갱이~C00가 먹고 싶다냥…"
1231,14,"う、うまいニャ…。
なんだか優しい味がするニャ。","우, 맛있다냥…
왠지 다정한 맛이 난다냥."
1327,15,お前、ひょっとして良いヤツなのかニャ？,"너, 혹시 좋은 녀석인 거냥?"
1399,16,"い、いや…騙されないニャ！
オイラは今まで、散々ハンターには
騙されてきたニャ！","아, 아니…속지 않는다냥!
나는 지금껏 헌터들에게
실컷 속아왔다냥!"
1500,17,"でも…もしお前が本当に良いヤツなら、
~C05瑠璃原珠~C00を持ってきて欲しいニャ。","하지만…만약 네가 정말 좋은 녀석이라면,
~C05유리원주~C00를 가져와줬으면 좋겠다냥."
1599,18,"知ってるかニャ？
~C05瑠璃原珠~C00はめったに手に入らない、
とっても貴重な素材ニャ。","알고 있냥?
~C05유리원주~C00는 좀처럼 손에 넣을 수 없는,
아주 귀중한 소재다냥."
1704,19,"この原珠から作られたモノには、
不思議な力が宿るそうニャ。","이 원주로 만들어진 물건에는,
신기한 힘이 깃든다고 한다냥."
1783,20,"それをオイラにくれるなら、
お前のことを少し信用してやるニャ！","그걸 나에게 준다면,
너를 조금은 믿어주겠다냥!"
1879,21,"いいか、~C05瑠璃原珠~C00ニャ！
それをオイラにくれたら、
お前のことを少し信用してやるニャ！","잘 들어라, ~C05유리원주~C00다냥!
그걸 나에게 주면,
너를 조금은 믿어주겠다냥!"
2020,22,"おお、それは瑠璃原珠じゃニャいか！
まさか本当に持ってくるとは…","오오, 그건 유리원주가 아니냥!
설마 정말로 가져올 줄이야…"
2105,23,"うーむ、お前が他のハンターとは
少し違うということはわかったニャ。","으음, 네가 다른 헌터들과는
조금 다르다는 건 알았다냥."
2192,24,"だけど、それでもやっぱり
人間のことは信用できないニャ。","하지만, 그래도 역시
인간은 믿을 수 없다냥."
2276,25,"気まぐれでオイラの心を惑わせるのは
やめて欲しいニャ…","변덕으로 내 마음을 흔드는 건
그만해줬으면 좋겠다냥…"
