Offset,Hash,Original,Translation
61,0,"@MYNAME様、
お待ちしておりましたニャ！","@MYNAME님,
기다리고 있었습니다냐!"
121,1,"ついにレジェンドラスタたちが
炎王龍の灼翼を必要な数だけ
集めたそうですニャ！","드디어 레전드 라스터들이
염왕룡의 작익을 필요한 수만큼
모았다고 한다냥!"
220,2,"まったく、覇種の
テオ・テスカトルばかり
狩り続けるのは骨が折れたわよ。","정말, 패종
테오·테스카토르만
계속 사냥하는 건 힘들었다고."
313,3,感謝してよね？,고마워해도 돼?
355,4,"ナターシャ先輩の弓、
すごかったんですよ～！","나타샤 선배의 활,
대단했었어요~!"
420,5,"でも、チルカもいっぱい
笛をブーブー吹きましたっ！","하지만 칠카도 열심히
피리를 뿌뿌 불었어요!"
491,6,"ふふ、チルカも
なかなか腕を上げたわよね。","후후, 칠카도
제법 실력이 늘었네."
554,7,"あなたの狩猟笛、
とっても頼もしかったわ。","네 수렵피리,
정말 든든했어."
617,8,"わあ、ナターシャ先輩に
ほめてもらえるなんて、
チルカ感激です～！","와아, 나타샤 선배님께
칭찬을 받다니,
칠카 감격이에요~!"
704,9,"さすがはレジェンドラスタの
皆様ですニャ！","역시 레전드 라스터
여러분이시다냥!"
767,10,さて、次の素材は…,"자, 다음 소재는…"
806,11,"えっへん！
それも、武具工房の親方さんに
ちゃんと聞いてきたんですよ。","에헴!
그것도 장비공방 대장장이님께
제대로 물어보고 왔다고요."
897,12,"えーと、確か
ドス大食いマグロの中トロだっけ？","음, 분명
도스 대식가 참치의 중토로였던가?"
964,13,そんなわけないでしょ！,그럴 리가 없잖아!
1007,14,"だいたい、穿龍棍を作るのに
なんでそんなモノが必要なのよ。
おかしいでしょ！","애초에 천룡곤을 만드는데
왜 그런 게 필요하다는 거야.
이상하잖아!"
1104,15,"あ、あれ？
そうでしたっけ…？","어, 어라?
그랬었나…?"
1155,16,"ドス大食いマグロの中トロじゃなくて、
ドスランポスの袋！","도스 대식가 참치의 중토로가 아니라,
도스란포스의 주머니!"
1232,17,"Ｇ級のドスランポスから
入手できる素材だけど、綺麗な形で
手に入れるのはかなり難しいわね。","Ｇ급 도스란포스에게서
입수할 수 있는 소재인데, 깨끗한 형태로
손에 넣는 건 꽤 어렵네."
1343,18,"ああ、そうでしたそうでした。
てへっ！","아아, 맞다 맞아.
헤헷!"
1402,19,"まったく、狩りの腕は上がっても
勘違いは相変わらずなのね。","정말이지, 사냥 실력은 늘어도
착각은 여전하구나."
1481,20,"しかし、ドスランポスの袋とは
また厄介な素材ですニャぁ。","하지만 도스란포스의 주머니라니
또 성가신 소재네냥."
1565,21,"１頭や２頭狩ったぐらいでは、
なかなか手に入らない素材ですニャ。","한두 마리 사냥한 정도로는,
좀처럼 손에 넣을 수 없는 소재다냥."
1650,22,"任せて。
今回もレジェンドラスタたちが
すでに狩りに動いてるわ。","맡겨줘.
이번에도 레전드 라스터들이
이미 사냥에 나서고 있어."
1735,23,"おお、心強いですニャ！
よろしくお願いしますニャ！","오오, 든든하다냥!
잘 부탁드린다냥!"
1806,24,"@MYNAMEには、そうねぇ。
差し当たって２頭も
狩ってくれればいいかしら？","@MYNAME한테는, 글쎄.
우선 두 마리 정도만
사냥해주면 될까?"
1911,25,"では@MYNAME様、
~C05Ｇ級ドスランポスを２頭~C00、
狩猟してきてくださいニャ！","그럼 @MYNAME님,
~C05Ｇ급 도스란포스를 두 마리~C00,
사냥해 와주세요냥!"
2022,26,"では@MYNAME様、
~C05Ｇ級ドスランポスを２頭~C00、
狩猟してきてくださいニャ！","그럼 @MYNAME님,
~C05Ｇ급 도스란포스를 두 마리~C00,
사냥해 와주세요냥!"
2157,27,"@MYNAME様、
Ｇ級ドスランポスの狩猟、
お疲れさまでしたニャ！","@MYNAME님,
Ｇ급 도스란포스 사냥,
수고하셨다냥!"
2246,28,"レジェンドラスタたちの
協力もあって、かなりの数の
素材が手に入ったようですニャ。","레전드 라스터들의
협력도 있어서, 상당한 수의
소재를 손에 넣은 것 같다냥."
2356,29,"狩人殿、こたびは大変な挑戦を
始められたそうでゴザルな。","나리, 이번에 큰 도전을
시작하셨다고 들었소이다."
2433,30,"僭越ながら、拙者もリア殿と共に
Ｇ級ドスランポスの狩猟を
勤めさせていただいたでゴザル！","외람되지만, 소생도 리아 님과 함께
Ｇ급 도스란포스 사냥을
맡아 수행했소이다!"
