Offset,Hash,Original,Translation
95,3755013100,"これはこれは、@MYNAME様。
いよいよ始まる我々の最後の挑戦に、
お力添えいただけますかニャ？","이것 참, @MYNAME님.
드디어 시작되는 저희의 마지막 도전에,
힘을 보태 주실 수 있나요냥?"
230,1385195548,"そうですかニャ…。
気が変わったらまた声をかけてくださいニャ。","그렇습니까냥…
마음이 바뀌면 다시 말을 걸어 주십시오냥."
334,247507757,"さすがは@MYNAME様！
そう言ってくれると信じていましたニャ！","역시 @MYNAME님!
그렇게 말씀해 주실 거라 믿고 있었습니다냥!"
415,2095989002,"最後の挑戦を始める前に、
まずは紹介しておきたい仲間がおりますニャ。","마지막 도전을 시작하기 전에,
우선 소개해 드리고 싶은 동료가 있습니다냥."
504,2454627611,"そのネコのニャは、モービン。
以前にもお話しした、トキシの呪いの調査に
世界中を旅してきたネコですニャ。","저 고양이의 이름은, 모빈.
전에도 말씀드렸던, 토키시의 저주를 조사하러
세계를 여행하고 온 고양이입니다냥."
650,458006445,"そのモービンが、
ついに我々の元に帰ってきましたニャ！","그 모빈이,
드디어 저희 곁으로 돌아왔습니다냥!"
732,1679429050,ニャいてるオンニャの匂いがするぜニャ…,울고 있는 온냥의 냄새가 나는구나냥…
791,910692823,"オンニャは一枚の絵。
黙って眺め、心で感じるのが理解への近道さニャ。","온냥은 한 폭의 그림.
말없이 바라보고, 마음으로 느끼는 것이 이해로 가는 지름길이다냥."
893,1191621954,"相変わらずワケのわからない
キザなことばかり言ってるニャ。","여전히 영문 모를
허세만 부리고 있네요냥."
993,536722129,"@MYNAME様の前で、
あまり恥ずかしいことを言わニャいで欲しいニャ。","@MYNAME님 앞에서,
너무 부끄러운 소리는 하지 말아 주세요냥."
1100,827272071,"よお、@MYNAMEさん。
ウワサは聞いてるぜニャ。
コイツらが世話にニャってるらしいニャア。","어이, @MYNAME씨.
소문은 듣고 있었다냥.
이 녀석들이 신세를 지고 있다더군냥."
1208,3718383201,"オレはコイツらとは違う角度から
歌姫さまが力を取り戻す方法を探るため、
世界中を旅してきたのさニャ。","나는 이 녀석들과는 다른 각도에서
가희님이 힘을 되찾을 방법을 찾기 위해,
세계를 여행하고 온 것이다냥."
1336,612951182,"それで、トキシの呪いを解く方法は
見つかったですかニャ？","그래서, 토키시의 저주를 푸는 방법은
찾으셨나요냥?"
1420,1487211991,"ああ、もちろんさニャ。
まったく、トキシってヤツぁ罪深い野郎だぜニャ。","아아, 물론이다냥.
정말이지, 토키시라는 녀석은 죄 많은 놈이라고냥."
1511,2063127395,"歌姫さまから、とんでもニャいモノを
盗んじまったんだからニャァ。","가희님으로부터, 터무니없는 것을
훔쳐버렸으니까 말이다냥."
1596,1653497089,"盗んだ！？",훔쳤다고!?
1641,1467580978,"歌姫さまに呪いの装飾品を与えただけではニャく、
大切ニャものまで盗んでたのかニャ！？","가희님께 저주받은 장식품을 준 것만이 아니라,
소중한 것까지 훔쳤단 말인가요냥!?"
1746,113189578,ニャ、ニャんて悪い奴ニャ！,"냐, 냐, 이런 나쁜 놈이 다 있냥!"
1793,1398920489,して、その盗んだモノとは！？,"그래서, 그 훔친 것이란!?"
1842,915268279,"決まってんだろニャ。
ココロさニャ。","뻔하지 않느냐냥.
마음이다냥."
1899,3891460996,ハァ！？　ココロ…！？,하아!? 마음…!?
1942,1555186265,そんニャもの、どうやって盗むですニャ？,"그런 것을, 대체 어떻게 훔치는 건가요냥?"
2001,2160006006,"机にかじりついてばかりの坊やには、
オンニャゴコロはわからねえだろうニャァ。","책상머리에만 매달려 있는 애송이는,
온냥의 마음은 모를 것이다냥."
2098,3116156794,"けど、その話は後だニャ。
今はまず、歌姫さまの不安を
取り除いてやることが大事ニャ。","허나, 그 이야기는 나중이다냥.
지금은 우선, 가희님의 불안을
없애주는 것이 중요하다냥."
2203,1167777929,"歌姫さまはまた龍を怒らせ、
祈りの森の悲劇を繰り返すことを
なによりも恐れているのさニャ。","가희님은 다시 용을 노하게 하여,
기도의 숲의 비극을 되풀이하는 것을
무엇보다 두려워하고 계신 것이다냥."
2314,2880089839,"その不安を取り除いてやらニャいと、
たとえ力を取り戻していても、
歌を歌うニャんてできねえニャ。","그 불안을 없애주지 않으면,
설령 힘을 되찾았다 해도,
노래 따위는 부를 수 없다냥."
2431,2902271659,"ふーむ、確かにモービンの言うことにも
一理ありますニャ。","흐음, 확실히 모빈의 말에도
일리가 있습니다냥."
2508,537917156,"けど、不安を取り除くといっても
どうすればいいニャ？","하지만, 불안을 없앤다고 해도
어떻게 하면 좋을까요냥?"
2581,3885789847,"まずは龍の怒りを鎮めることさニャ。
バルラガルまでこの地方に現れたのは、
すでに何かの予兆かもしれニャいニャ。","우선은 용의 분노를 가라앉히는 것이다냥.
바루라갈까지 이 지방에 나타난 것은,
이미 어떤 전조일지도 모른다냥."
2712,3241962087,"このままじゃいずれ、
本当の災厄がメゼポルタに来ちまうニャ。","이대로라면 머지않아,
진짜 재앙이 메제포르타에 찾아오고 말 것이다냥."
2793,3915180805,"そうニャる前に、
龍の怒りを鎮める儀式をやるべきだぜニャ。","그렇게 되기 전에,
용의 분노를 가라앉히는 의식을 치러야 한다냥."
2872,1044814975,ニャるほど、その手がありましたニャ。,"과연, 그런 방법이 있었군요냥."
2929,1598336197,"龍の怒りを鎮める儀式かニャ。
確か、前に祈りの森でもやったことが
あるようニャ…","용의 분노를 가라앉히는 의식이라냥.
분명, 예전에 기도의 숲에서도 치른 적이
있는 것 같습니다냥…"
3037,402697511,"そう、それだぜニャ。
儀式をやるには、３つの素材が必要ニャ。","그래, 바로 그거다냥.
의식을 치르려면, 3개의 소재가 필요하다냥."
3125,3698225452,"まず１つめは、古龍種の珠だぜニャ。
コイツを手に入れるために、@MYNAMEさん、
~C05テオ・テスカトルを討伐~C00してきてくれニャ。","우선 첫 번째는, 고룡종의 구슬이다냥.
이것을 손에 넣기 위해, @MYNAME씨,
~C05테오·테스카토르를 토벌~C00하고 와 다오냥."
3257,3554254475,A,
3282,309186814,"龍の怒りを鎮める儀式をやるには、
３つの素材が必要ニャ。","용의 분노를 가라앉히는 의식을 치르려면,
3개의 소재가 필요하다냥."
3359,3698225452,"まず１つめは、古龍種の珠だぜニャ。
コイツを手に入れるために、@MYNAMEさん、
~C05テオ・テスカトルを討伐~C00してきてくれニャ。","우선 첫 번째는, 고룡종의 구슬이다냥.
이것을 손에 넣기 위해, @MYNAME씨,
~C05테오·테스카토르를 토벌~C00하고 와 다오냥."
3512,2322244508,=,
3540,192929213,"古龍種の珠、
確かに受け取ったぜニャ。","고룡종의 구슬,
확실히 받았다냥."
3599,1184821696,"恩に着るぜニャ。
オレたちは友達じゃニャいが、
アンタが困った時だけ友達になると約束するニャ。","신세 졌다냥.
우리는 친구는 아니지만,
네가 곤란할 때만은 친구가 되어주겠다고 약속하마냥."
3721,1481107051,さて、次は２つ目の素材ですがニャ…,"자, 다음은 두 번째 소재입니다만냥…"
3783,1377634984,そう、コイツがちょいと問題なんだニャ。,"그래, 이게 좀 문제란 말이다냥."
3842,3322261883,"実は２つ目の素材は、
ハッキリしニャい部分が多いんだニャ。","실은 두 번째 소재는,
확실치 않은 부분이 많다냥."
3934,3530951242,"ニャぜかって？
それはラスタ酒場にいる、
~C05フラウ~C00ってオンニャにでも聞いてみるんだニャ","왜냐고?
그건 라스터 주점에 있는,
~C05플라우~C00라는 온냥에게 물어보는 게 좋다냥"
4033,3020215367,ﾚ,
