Offset,Hash,Original,Translation
61,0,"おう、@MYNAME！
あの時は随分と世話になったな！","오, @MYNAME!
그때는 신세를 많이 졌지!"
142,1,"ん？俺様か？
相変わらず腹を空かせておるわ！","응? 나 말이냐?
여전히 배를 곯고 있다!"
207,2,"キースに教えてもらった
はらへり技能とやらも、なーんの役にも
立たなかったというわけだ！","키스에게 배운
허기짐 기능이라는 것도, 눈곱만큼도
도움이 안 됐다는 거지!"
316,3,"ま、俺様はそんな細かいことを
気にする男ではないがな！
ガハハハハ！","뭐, 나는 그런 사소한 걸
신경 쓰는 남자는 아니다만!
가하하하하!"
405,4,"ただな、最近はキースの奴が
少し元気がなさそうなんだ。","다만 말이지, 요즘 키스 녀석이
좀 기운이 없어 보이더라고."
480,5,"まさか、俺様の空腹が奴にまで
伝染ったということはないと思うが…","설마, 내 공복이 그 녀석에게까지
옮은 건 아니라고 생각하지만…"
565,6,"奴にも世話になったからな。
悩み事なら相談に乗ってやりたいが、
俺様もこれで忙しいんだ。","그 녀석한테도 신세를 졌으니까.
고민이 있다면 들어주고 싶다만,
나도 이래 봬도 바쁘단 말이지."
674,7,"@MYNAME、悪いがお前さん、
キースの様子を見てきてやってくれんか？","@MYNAME, 미안하지만 자네,
키스의 상태를 좀 보고 와주지 않겠나?"
773,8,助かるぜ！よろしく頼む！,고맙다! 잘 부탁한다!
838,9,"悪いがキースの様子を見てきてやってくれ。
よろしく頼む！","미안하지만 키스의 상태를 좀 보고 와줘.
잘 부탁한다!"
917,10,"やあ、狩人殿。
お元気ですカナ？","이야, 나리.
잘 지내시오이까?"
983,11,"え？ギネル殿が拙者に…？
そうでゴザルか…","예? 기넬 님이 소인에게…?
그런 것이오이까…"
1073,12,"狩人殿、少し拙者の相談に
乗ってはくださらぬか？","나리, 잠시 소인의 상담을
좀 들어주시지 않겠소이까?"
1142,13,"ここでは人がおりますゆえ、
祈樹の泉でお待ちくだサレ。","이곳은 사람이 있으니,
기수의 샘에서 기다려주시오."
1217,14,"しばらくは、ネコと会話でも
楽しんでいてくだサレ。
拙者も、追って参るでゴザル！","잠시 동안은, 냥이와 이야기라도
나누며 기다려주시오.
소인도 뒤따라 가겠소이다!"
1336,15,"キースなら、さっき
祈樹の泉の方へ行くのを見たぞ。
悪いが、様子をみてきてやってくれ。","키스라면, 아까
기수의 샘 쪽으로 가는 걸 봤다.
미안하지만, 상태를 좀 보고 와줘."
1457,16,"狩人殿、かたじけない。
相談というのは他でもない、
ギネル殿のことでゴザル。","나리, 감사하오.
상담이라는 것은 다름 아닌,
기넬 님에 관한 것이오."
1554,17,"実はあのあと、よくよく考えて
みたのでゴザルが…","실은 그 뒤로, 곰곰이 생각해
보았소만…"
1623,18,"なんと満腹珠と食漢珠を
同時に装備すると、はらへりの技能が
相殺されてしまうのでゴザル！","글쎄 만복주와 식한주를
동시에 장착하면, 허기짐 기능이
서로 상쇄되어 버리는 것이오!"
1745,19,"まさに一生の不覚！
勘違いとはいえ、親愛なるギネル殿に
よもやウソを教えてしまうとは…！","실로 일생일대의 실수! 착각이라고는 하나,
친애하는 기넬 님께
설마 거짓을 알려드리다니…!"
