Offset,Hash,Original,Translation
61,0,"やあ、狩人殿。
ご機嫌うるわしゅう！","이야, 나리.
오늘도 좋아 보이시는구려!"
118,1,"狩人殿は、猟団部屋に置く物に
こだわる方でゴザルか？","나리는 수렵단실에 놓는 물건에
신경을 쓰는 편이시오?"
191,2,"実は拙者、マイハウスに
太刀の武具人形を飾りたいのでゴザルよ。","실은 소인, 마이 하우스에
태도 장비 인형을 장식하고 싶소."
274,3,"その素材は集めた！
しかしながら…実は総合ショップの店主に
顔を合わせづらいのでゴザル…","그 소재는 모았소!
허나… 실은 종합 상점 점주를
볼 낯이 없어서…"
383,4,"…いや、いつも無茶な発注ばかりで
面倒をかけているからでシテ…","…아니, 늘 무리한 발주만 해서
폐를 끼치고 있어서 그렇소…"
466,5,"狩人殿、拙者の代わりに
総合ショップに発注しに行ってはくれヌカ！？","나리, 소인 대신
종합 상점에 발주하러 가 주지 않겠소!?"
566,6,"かたじけない、狩人殿！
感謝いたすゾ！！","고맙소, 나리!
감사드리오!!"
627,7,"拙者はここでお待ちいたす！
よろしく頼むでゴザル！","소인은 여기서 기다리겠소!
잘 부탁하오!"
711,8,"すまぬ狩人殿、拙者の代わりに
総合ショップに発注しに行ってはくれヌカ！？","미안하오 나리, 소인 대신
종합 상점에 발주하러 가 주지 않겠소!?"
804,9,よろしく頼むでゴザル～！,잘 부탁하오~!
864,10,"…なるほど、太刀の武具人形ですかー。
その発注、承りますよー！","…과연, 태도 장비 인형이군요~.
그 발주, 받겠습니다~!"
947,11,"キースさんの発注は毎度難しいから
正直困る時もありますが…","키스 씨의 발주는 매번 까다로워서
솔직히 곤란할 때도 있지만…"
1026,12,"でも、同時にこちらの腕も試されますのでー。
決して嫌いなわけじゃないんですよー。","그래도, 동시에 제 실력도 시험받으니까요~.
결코 싫은 건 아니에요~."
1127,13,"だからキースさんには、
これからも遠慮なく発注してほしいと
伝えてもらえますか？","그러니까 키스 씨에게,
앞으로도 사양 말고 발주해 달라고
전해 주시겠어요?"
1252,14,"おお、総合ショップの店主に話を
きいてくださったのでゴザルか。","오오, 종합 상점 점주에게 이야기를
들어 주셨소?"
1334,15,"…何もこんなところで話す必要も
ないでゴザルな。
別の場所で話を聞かせてくだサレ。","…굳이 이런 곳에서 이야기할 필요는
없겠구려.
다른 곳에서 이야기를 들려주시오."
1450,16,"総合ショップの店主がそんなことを！？
なんと、なんと…感無量でゴザル！","종합 상점 점주가 그런 말을!?
이런, 이런… 감개무량하오!"
1541,17,"すべて狩人殿のおかげでゴザル。
お礼に一度、狩人殿の狩りを
手伝わせてくだサレ！","모두 나리 덕분이오.
답례로 한번, 나리의 사냥을
돕게 해 주시오!"
1642,18,"拙者はここでお待ちするゆえ、
いつでも遠慮なく声をかけてくだサレ！","소인은 여기서 기다리고 있을 터이니,
언제든지 사양 말고 말을 걸어 주시오!"
